epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,1142,1.38159,2.99786,1.47331,1.34718,0.48286,0.3978,0.39313,0.20841,0.45085,0.37143,0.32308,0.13424,1.57003,3.19561,1.68519,1.49435,0.00101,0.00101,0.00101
77,1157.05,1.37686,2.91874,1.4546,1.34857,0.49956,0.38613,0.40181,0.2243,0.45295,0.36703,0.34532,0.15052,1.55804,3.16769,1.69578,1.50437,0.000989267,0.000989267,0.000989267
78,1171.59,1.35884,2.94965,1.44751,1.35068,0.44721,0.41319,0.39155,0.22026,0.41867,0.38681,0.33727,0.1453,1.55431,3.19013,1.68595,1.50044,0.000968543,0.000968543,0.000968543
79,1186.95,1.33182,2.92791,1.4519,1.33146,0.44347,0.3958,0.3747,0.20269,0.42131,0.37602,0.3233,0.12949,1.60913,3.17938,1.74131,1.52339,0.000947837,0.000947837,0.000947837
80,1201.72,1.3549,2.90045,1.44282,1.33424,0.47079,0.40659,0.394,0.22588,0.453,0.37143,0.33638,0.14576,1.56697,3.16692,1.67181,1.50907,0.000927159,0.000927159,0.000927159
81,1219.41,1.37638,2.87148,1.4345,1.31681,0.50359,0.41471,0.41638,0.23686,0.47182,0.39341,0.3557,0.16055,1.55007,3.1846,1.6453,1.47658,0.000906517,0.000906517,0.000906517
82,1233.96,1.34915,2.95298,1.44822,1.33931,0.45668,0.4044,0.39483,0.22271,0.44722,0.34505,0.33026,0.1406,1.58792,3.22013,1.70654,1.51055,0.00088592,0.00088592,0.00088592
83,1248.32,1.3049,2.84492,1.36374,1.31681,0.51701,0.4044,0.41184,0.22397,0.44939,0.38462,0.35656,0.14715,1.57447,3.16798,1.66501,1.5134,0.000865378,0.000865378,0.000865378
84,1264.34,1.31346,2.81437,1.36889,1.31993,0.49175,0.39977,0.39809,0.21916,0.46947,0.36484,0.34564,0.14825,1.59236,3.23227,1.68683,1.54091,0.000844899,0.000844899,0.000844899
85,1278.71,1.35535,2.97267,1.37212,1.32601,0.51362,0.4,0.40551,0.21859,0.4474,0.35385,0.32126,0.13464,1.59332,3.28062,1.66752,1.51099,0.000824492,0.000824492,0.000824492
86,1294.82,1.325,2.92169,1.41551,1.31977,0.47781,0.41538,0.39676,0.21644,0.43483,0.37802,0.32955,0.14368,1.55624,3.2254,1.70995,1.48557,0.000804167,0.000804167,0.000804167
87,1309.28,1.31634,2.86663,1.38811,1.30236,0.50682,0.38462,0.37956,0.20319,0.48146,0.36264,0.32529,0.13717,1.60487,3.2928,1.76642,1.52619,0.000783933,0.000783933,0.000783933
88,1325.01,1.3039,2.8035,1.36291,1.31153,0.48464,0.38856,0.39076,0.21413,0.49616,0.34725,0.34394,0.14619,1.58202,3.23573,1.69304,1.54207,0.000763797,0.000763797,0.000763797
89,1339.41,1.3293,2.8777,1.37403,1.31994,0.48457,0.4022,0.39482,0.20986,0.45314,0.35877,0.33875,0.13841,1.58691,3.23495,1.72679,1.5322,0.000743769,0.000743769,0.000743769
90,1353.58,1.2896,2.8609,1.36038,1.30839,0.46602,0.41538,0.38759,0.21699,0.45297,0.38681,0.33891,0.14282,1.56244,3.24076,1.71319,1.50893,0.000723859,0.000723859,0.000723859
91,1369,1.27921,2.78199,1.3154,1.30463,0.55314,0.35824,0.38564,0.20521,0.519,0.31541,0.32059,0.13864,1.59979,3.29651,1.73351,1.54903,0.000704073,0.000704073,0.000704073
92,1383.77,1.35138,2.92467,1.42296,1.34718,0.41859,0.42882,0.38934,0.21055,0.49871,0.31429,0.32734,0.13431,1.58572,3.28233,1.73637,1.51392,0.000684422,0.000684422,0.000684422
93,1401.01,1.29843,2.77684,1.34058,1.29593,0.48774,0.42198,0.40223,0.22701,0.47074,0.38509,0.35162,0.14718,1.55259,3.26339,1.66194,1.49772,0.000664914,0.000664914,0.000664914
94,1415.56,1.30543,2.78975,1.37242,1.33319,0.46682,0.41978,0.40687,0.22985,0.54666,0.34505,0.35931,0.15187,1.55063,3.23214,1.65107,1.50185,0.000645557,0.000645557,0.000645557
95,1434.45,1.26055,2.75649,1.29303,1.28129,0.45901,0.43823,0.38441,0.21606,0.43544,0.40513,0.33351,0.14422,1.58495,3.19916,1.69657,1.53456,0.00062636,0.00062636,0.00062636
96,1448.85,1.2763,2.7515,1.31238,1.28528,0.44905,0.41538,0.38019,0.218,0.42959,0.38681,0.32378,0.14302,1.56515,3.25882,1.69613,1.49577,0.000607331,0.000607331,0.000607331
97,1463.05,1.25834,2.72425,1.27675,1.27356,0.48761,0.38242,0.38109,0.21446,0.47744,0.34725,0.32042,0.13774,1.57771,3.30709,1.71617,1.51924,0.000588479,0.000588479,0.000588479
98,1478.94,1.28186,2.79008,1.31681,1.29529,0.4556,0.40659,0.37617,0.20955,0.42596,0.37346,0.31242,0.13293,1.57948,3.38322,1.73995,1.54092,0.000569811,0.000569811,0.000569811
99,1493.89,1.29025,2.76747,1.30031,1.29657,0.45662,0.42848,0.38434,0.21292,0.42555,0.4,0.32544,0.13713,1.60694,3.29077,1.70099,1.55636,0.000551337,0.000551337,0.000551337
100,1510.5,1.27891,2.79859,1.28298,1.30971,0.51941,0.40659,0.39358,0.21862,0.47168,0.36923,0.33403,0.14184,1.62319,3.30078,1.6824,1.56715,0.000533064,0.000533064,0.000533064
101,1524.93,1.26417,2.76439,1.26137,1.2778,0.49907,0.37802,0.37855,0.2123,0.43296,0.36703,0.31383,0.13279,1.6139,3.24419,1.70713,1.5461,0.000515,0.000515,0.000515
102,1541.9,1.24831,2.71041,1.253,1.27894,0.49731,0.4,0.38577,0.21497,0.45726,0.36703,0.32506,0.12814,1.59193,3.31335,1.72708,1.52144,0.000497153,0.000497153,0.000497153
103,1557.3,1.27598,2.73631,1.28088,1.29358,0.50118,0.37802,0.38961,0.21441,0.45758,0.34945,0.32592,0.13767,1.60516,3.27815,1.74952,1.52937,0.000479531,0.000479531,0.000479531
104,1574.52,1.17119,2.66129,1.22794,1.24135,0.46264,0.41538,0.38991,0.21503,0.40308,0.38462,0.33481,0.14008,1.58814,3.27966,1.68594,1.53834,0.000462142,0.000462142,0.000462142
